"Label (Grouping)","Chicago-Naperville-Elgin, IL-IN Metro Area!!Estimate","Chicago-Naperville-Elgin, IL-IN Metro Area!!Margin of Error"
"Total:","4,756,772","±26,931"
"    Agriculture, forestry, fishing and hunting, and mining","16,059","±2,295"
"    Construction","242,869","±10,717"
"    Manufacturing","516,488","±12,750"
"    Wholesale trade","115,696","±5,911"
"    Retail trade","467,704","±12,533"
"    Transportation and warehousing, and utilities","364,130","±12,119"
"    Information","88,401","±5,128"
"    Finance and insurance, and real estate and rental and leasing","366,055","±10,986"
"    Professional, scientific, and management, and administrative and waste management services","691,284","±16,132"
"    Educational services, and health care and social assistance","1,065,626","±19,288"
"    Arts, entertainment, and recreation, and accommodation and food services","411,600","±14,902"
"    Other services (except public administration)","231,765","±9,043"
"    Public administration","165,263","±7,187"
"    Armed forces","13,832","±2,435"
"    Car, truck, or van - drove alone:","2,972,634","±27,927"
"        Agriculture, forestry, fishing and hunting, and mining","11,117","±1,842"
"        Construction","183,285","±9,473"
"        Manufacturing","369,363","±10,769"
"        Wholesale trade","76,402","±4,603"
"        Retail trade","320,773","±11,893"
"        Transportation and warehousing, and utilities","258,740","±9,706"
"        Information","43,917","±4,031"
"        Finance and insurance, and real estate and rental and leasing","161,851","±7,926"
"        Professional, scientific, and management, and administrative and waste management services","296,624","±9,930"
"        Educational services, and health care and social assistance","729,162","±17,016"
"        Arts, entertainment, and recreation, and accommodation and food services","256,295","±11,805"
"        Other services (except public administration)","149,926","±7,498"
"        Public administration","110,817","±6,130"
"        Armed forces","4,362","±1,656"
"    Car, truck, or van - carpooled:","378,722","±15,059"
"        Agriculture, forestry, fishing and hunting, and mining","1,324","±660"
"        Construction","24,199","±3,341"
"        Manufacturing","46,741","±4,575"
"        Wholesale trade","10,370","±2,334"
"        Retail trade","44,635","±4,518"
"        Transportation and warehousing, and utilities","30,026","±3,699"
"        Information","4,621","±1,025"
"        Finance and insurance, and real estate and rental and leasing","17,338","±3,037"
"        Professional, scientific, and management, and administrative and waste management services","40,382","±4,775"
"        Educational services, and health care and social assistance","84,573","±5,759"
"        Arts, entertainment, and recreation, and accommodation and food services","43,000","±4,634"
"        Other services (except public administration)","21,181","±2,868"
"        Public administration","9,869","±1,725"
"        Armed forces","463","±421"
"    Public transportation:","430,347","±14,361"
"        Agriculture, forestry, fishing and hunting, and mining","1,026","±467"
"        Construction","8,317","±2,833"
"        Manufacturing","24,248","±3,301"
"        Wholesale trade","5,978","±1,657"
"        Retail trade","32,909","±4,126"
"        Transportation and warehousing, and utilities","29,878","±3,909"
"        Information","7,331","±1,374"
"        Finance and insurance, and real estate and rental and leasing","62,056","±4,470"
"        Professional, scientific, and management, and administrative and waste management services","98,499","±6,055"
"        Educational services, and health care and social assistance","81,333","±6,674"
"        Arts, entertainment, and recreation, and accommodation and food services","45,814","±5,450"
"        Other services (except public administration)","15,580","±2,479"
"        Public administration","17,066","±2,507"
"        Armed forces","312","±308"
"    Walked:","156,532","±9,469"
"        Agriculture, forestry, fishing and hunting, and mining","345","±221"
"        Construction","2,825","±1,514"
"        Manufacturing","8,771","±1,954"
"        Wholesale trade","2,445","±1,189"
"        Retail trade","15,433","±3,136"
"        Transportation and warehousing, and utilities","5,689","±1,914"
"        Information","4,371","±1,439"
"        Finance and insurance, and real estate and rental and leasing","12,058","±3,582"
"        Professional, scientific, and management, and administrative and waste management services","25,210","±4,507"
"        Educational services, and health care and social assistance","41,123","±4,010"
"        Arts, entertainment, and recreation, and accommodation and food services","23,626","±3,291"
"        Other services (except public administration)","8,192","±2,997"
"        Public administration","3,053","±2,005"
"        Armed forces","3,391","±1,222"
"    Taxi or ride-hailing services, motorcycle, bicycle, or other means:","109,745","±8,002"
"        Agriculture, forestry, fishing and hunting, and mining","174","±116"
"        Construction","3,814","±1,469"
"        Manufacturing","8,591","±1,879"
"        Wholesale trade","1,695","±712"
"        Retail trade","10,305","±2,212"
"        Transportation and warehousing, and utilities","11,042","±2,615"
"        Information","1,803","±624"
"        Finance and insurance, and real estate and rental and leasing","10,893","±2,198"
"        Professional, scientific, and management, and administrative and waste management services","16,214","±2,303"
"        Educational services, and health care and social assistance","22,462","±3,019"
"        Arts, entertainment, and recreation, and accommodation and food services","14,357","±3,253"
"        Other services (except public administration)","5,080","±1,550"
"        Public administration","3,200","±911"
"        Armed forces","115","±120"
"    Worked from home:","708,792","±18,394"
"        Agriculture, forestry, fishing and hunting, and mining","2,073","±810"
"        Construction","20,429","±3,199"
"        Manufacturing","58,774","±4,839"
"        Wholesale trade","18,806","±3,318"
"        Retail trade","43,649","±4,121"
"        Transportation and warehousing, and utilities","28,755","±2,946"
"        Information","26,358","±3,001"
"        Finance and insurance, and real estate and rental and leasing","101,859","±6,533"
"        Professional, scientific, and management, and administrative and waste management services","214,355","±9,321"
"        Educational services, and health care and social assistance","106,973","±6,504"
"        Arts, entertainment, and recreation, and accommodation and food services","28,508","±3,146"
"        Other services (except public administration)","31,806","±3,200"
"        Public administration","21,258","±3,062"
"        Armed forces","5,189","±1,159"
