year,geo,band,n,n_observed,pct_observed,n_verified_last_12m,median_months_since_verified
2025,chicago,500-999,140,140,100.0,24,44.0
2025,chicago,unknown,9662,3518,36.41,1102,8.0
2025,cook_ex_chicago,1-9,100209,25253,25.2,26496,25.0
2025,cook_ex_chicago,10-49,17187,11341,65.99,4195,32.0
2025,cook_ex_chicago,100-249,1408,1135,80.61,340,34.0
2025,cook_ex_chicago,1000+,58,58,100.0,12,41.0
2025,cook_ex_chicago,250-499,280,267,95.36,83,34.0
2025,cook_ex_chicago,50-99,2990,2097,70.13,740,30.0
2025,cook_ex_chicago,500-999,90,87,96.67,20,40.0
2025,cook_ex_chicago,unknown,9275,2749,29.64,920,8.0
2025,il_ex_msa,1-9,155198,59823,38.55,43962,25.0
2025,il_ex_msa,10-49,28852,21489,74.48,7307,29.0
2025,il_ex_msa,100-249,1763,1626,92.23,431,34.0
2025,il_ex_msa,1000+,86,85,98.84,8,49.0
2025,il_ex_msa,250-499,383,377,98.43,106,26.0
2025,il_ex_msa,50-99,4018,3356,83.52,1014,31.0
2025,il_ex_msa,500-999,146,146,100.0,41,29.5
2025,il_ex_msa,unknown,16464,2813,17.09,1039,8.0
2025,msa_ex_cook,1-9,134700,37345,27.72,33950,26.0
2025,msa_ex_cook,10-49,25711,17091,66.47,6058,34.0
2025,msa_ex_cook,100-249,2047,1621,79.19,505,34.0
2025,msa_ex_cook,1000+,78,78,100.0,15,32.0
2025,msa_ex_cook,250-499,358,347,96.93,83,35.0
2025,msa_ex_cook,50-99,4049,2894,71.47,930,33.0
2025,msa_ex_cook,500-999,117,115,98.29,32,32.0
2025,msa_ex_cook,unknown,12777,4093,32.03,1506,8.0
2025,msa_out_of_state,1-9,30559,9238,30.23,8458,20.0
2025,msa_out_of_state,10-49,6001,3958,65.96,1488,25.0
2025,msa_out_of_state,100-249,362,307,84.81,89,26.0
2025,msa_out_of_state,1000+,16,16,100.0,3,43.5
2025,msa_out_of_state,250-499,60,59,98.33,17,20.0
2025,msa_out_of_state,50-99,848,625,73.7,174,25.0
2025,msa_out_of_state,500-999,20,20,100.0,4,34.0
2025,msa_out_of_state,unknown,3268,1025,31.36,253,3.0
