year,firm_id,company,naics2,chicago_sites,chicago_emp,chicago_emp_observed,chicago_sites_emp_unknown,cook_ex_sites,cook_ex_emp,msa_ex_cook_sites,msa_ex_cook_emp,il_ex_msa_sites,il_ex_msa_emp,il_sites,il_emp,n_status_codes,sites_in_and_out_chicago,pct_chicago_emp_observed
1997,820652568,CHILDREN'S MEMORIAL HOSPITAL,62,1,2800.0,0.0,0,0,0.0,0,0.0,0,0.0,1,2800.0,1,False,0.0
1997,007538564,USG CORP,32,5,2714.0,0.0,0,1,7.0,5,46.0,0,0.0,11,2767.0,3,True,0.0
1997,448172270,CATHOLIC CHARITIES,62,25,2648.0,0.0,0,9,124.0,10,118.0,18,186.0,62,3076.0,1,True,0.0
1997,899978076,SWEETHEART HOLDINGS INC,32,2,2600.0,0.0,0,0,0.0,0,0.0,0,0.0,2,2600.0,2,False,0.0
1997,465380327,CHICAGO PUBLIC LIBRARY,51,84,2566.0,0.0,0,2,15.0,0,0.0,0,0.0,86,2581.0,2,True,0.0
1997,441314358,NABISCO BISCUIT CO,31,1,2500.0,0.0,0,5,261.0,1,220.0,4,188.0,11,3169.0,1,True,0.0
1997,408162147,UNIVERSITY OF ILLINOIS HOSP,62,1,2500.0,0.0,0,0,0.0,0,0.0,0,0.0,1,2500.0,1,False,0.0
1997,947654885,A DISCOUNT MORTGAGE INC,52,1,2500.0,0.0,0,0,0.0,0,0.0,0,0.0,1,2500.0,1,False,0.0
1997,001876291,PEOPLES ENERGY CORP,22,11,2490.0,0.0,3,1,2.0,3,16.0,1,49.0,16,2557.0,3,True,0.0
1997,007507833,CITICORP POS INFORMATION SVC,52,27,2368.0,0.0,0,26,318.0,15,152.0,0,0.0,68,2838.0,2,True,0.0
1997,002937415,MARSHALL FIELD'S,45,5,2338.0,0.0,0,16,3156.0,22,4080.0,16,2269.0,59,11843.0,2,True,0.0
1997,007523459,TRANS UNION CORP,56,9,2333.0,0.0,1,7,509.0,19,676.0,18,1144.0,53,4662.0,3,True,0.0
1997,004557500,LEO BURNETT CO,54,1,2300.0,0.0,0,0,0.0,0,0.0,0,0.0,1,2300.0,1,False,0.0
1997,902111210,LEO BURNETT CO LIBRARY,51,1,2300.0,0.0,0,0,0.0,0,0.0,0,0.0,1,2300.0,1,False,0.0
1997,006204994,RUSH PRUDENTIAL HEALTH PLANS,62,24,2277.0,0.0,0,34,1614.0,53,1854.0,89,832.0,200,6577.0,1,True,0.0
1997,498877364,COM ED,22,6,2266.0,0.0,1,0,0.0,3,311.0,3,533.0,12,3110.0,3,True,0.0
1997,820310522,MOUNT SINAI HOSPITAL MED CTR,62,1,2200.0,0.0,0,0,0.0,0,0.0,0,0.0,1,2200.0,1,False,0.0
1997,001332782,MERCY HOSPITAL & MEDICAL CTR,62,1,2200.0,0.0,0,0,0.0,0,0.0,0,0.0,1,2200.0,1,False,0.0
1997,441323870,ERNST & YOUNG,56,2,2150.0,0.0,0,1,35.0,0,0.0,0,0.0,3,2185.0,1,True,0.0
1997,007529209,PEPSI-COLA BOTTLING CO,42,100,2130.0,0.0,0,130,2984.0,164,4023.0,374,8763.0,768,17900.0,1,True,0.0
1997,448906966,MERCY HOSPITAL & MEDICAL CTR,62,1,2100.0,0.0,0,0,0.0,0,0.0,0,0.0,1,2100.0,1,False,0.0
1997,004655569,AMERITECH CORP,51,26,2030.0,0.0,7,26,4906.0,12,396.0,19,294.0,83,7626.0,3,True,0.0
1997,441361672,RYERSON TULL INC,32,5,2018.0,0.0,1,0,0.0,0,0.0,0,0.0,5,2018.0,3,False,0.0
1997,402849251,WMS INDUSTRIES INC,42,5,2010.0,0.0,2,1,0.0,0,0.0,0,0.0,6,2010.0,2,True,0.0
1997,151375706,LOYOLA-UNIVERSITY OF CHICAGO,61,1,2000.0,0.0,0,0,0.0,0,0.0,0,0.0,1,2000.0,1,False,0.0
1997,905315313,RAVENSWOOD HEALTH CARE FNDTN,62,1,2000.0,0.0,0,0,0.0,0,0.0,0,0.0,1,2000.0,1,False,0.0
1997,001330802,MAYER BROWN & PLATT,54,1,2000.0,0.0,0,0,0.0,0,0.0,0,0.0,1,2000.0,1,False,0.0
1997,450138623,TRUMAN COLLEGE,61,1,2000.0,0.0,0,0,0.0,0,0.0,0,0.0,1,2000.0,1,False,0.0
1997,001627785,NORTHEASTERN ILLINOIS UNIV,61,1,2000.0,0.0,0,0,0.0,0,0.0,0,0.0,1,2000.0,1,False,0.0
1997,005761499,SARGENT & LUNDY,54,1,2000.0,0.0,0,0,0.0,0,0.0,0,0.0,1,2000.0,1,False,0.0
1997,003646411,CHICAGO TITLE INSURANCE CO,52,7,1941.0,0.0,1,14,215.0,23,468.0,12,122.0,56,2746.0,2,True,0.0
1997,425042744,CHICAGO O'HARE INTL AIRPORT,92,1,1920.0,0.0,0,0,0.0,0,0.0,0,0.0,1,1920.0,1,False,0.0
1997,151801404,MONTGOMERY WARD HOLDING CORP,42,10,1909.0,0.0,0,24,5946.0,12,1336.0,11,728.0,57,9919.0,3,True,0.0
1997,466032877,US ARMY 126TH REFUELING WING,92,80,1893.0,0.0,50,93,211.0,94,1490.0,236,4517.0,503,8111.0,2,True,0.0
1997,402775001,PUBLIC AID DEPT,92,31,1801.0,0.0,13,3,1150.0,9,362.0,86,3826.0,129,7139.0,2,True,0.0
1997,906739446,N'WESTERN UNIV MEDICAL SCHOOL,61,1,1800.0,0.0,0,0,0.0,0,0.0,0,0.0,1,1800.0,1,False,0.0
1997,465406908,RAVENSWOOD HOSPITAL MED CTR,62,1,1800.0,0.0,0,0,0.0,0,0.0,0,0.0,1,1800.0,1,False,0.0
1997,906737242,EVEREN CAPITAL CORP,52,2,1800.0,0.0,0,3,39.0,4,65.0,8,71.0,17,1975.0,3,True,0.0
1997,400857322,CHICAGO MARRIOTT DOWNTOWN,72,5,1770.0,0.0,0,20,1067.0,26,2074.0,31,851.0,82,5762.0,1,True,0.0
1997,001334531,ST JOSEPH HOSPITAL,62,1,1700.0,0.0,0,0,0.0,0,0.0,0,0.0,1,1700.0,1,False,0.0
1997,003500592,QUAKER OATS CO,31,4,1620.0,0.0,2,2,301.0,2,495.0,1,502.0,9,2918.0,3,True,0.0
1997,901772657,SWEDISH COVENANT HOSPITAL,62,1,1600.0,0.0,0,0,0.0,0,0.0,0,0.0,1,1600.0,1,False,0.0
1997,901652396,HOLY CROSS PHYSICIAN PAVILION,62,1,1600.0,0.0,0,0,0.0,0,0.0,0,0.0,1,1600.0,1,False,0.0
1997,947862959,HOLY CROSS HOSPITAL,62,1,1600.0,0.0,0,0,0.0,0,0.0,0,0.0,1,1600.0,1,False,0.0
1997,402852131,IIT RESEARCH INSTITUTE,56,1,1575.0,0.0,0,0,0.0,0,0.0,0,0.0,1,1575.0,1,False,0.0
1997,007533391,SEARS ROEBUCK & CO,44,17,1512.0,0.0,0,45,6249.0,40,2523.0,80,3246.0,182,13530.0,3,True,0.0
1997,003609070,INFORMATION RESOURCES INC,51,2,1506.0,0.0,0,2,14.0,0,0.0,0,0.0,4,1520.0,2,True,0.0
1997,498878065,INLAND MATERIALS DISTR GROUP,42,1,1500.0,0.0,0,0,0.0,0,0.0,0,0.0,1,1500.0,1,False,0.0
1997,441362324,EQUITY GROUP INVESTMENTS,42,1,1500.0,0.0,0,0,0.0,0,0.0,0,0.0,1,1500.0,1,False,0.0
1997,441298585,BURGER KING,72,45,1467.0,0.0,0,76,2330.0,82,2516.0,84,3027.0,287,9340.0,1,True,0.0
1997,452152465,CARSON PIRIE SCOTT,45,7,1413.0,0.0,0,11,1703.0,12,1234.0,18,2276.0,48,6626.0,1,True,0.0
1997,458898392,DAYS INN,72,43,1404.0,0.0,0,83,3187.0,111,2904.0,198,3297.0,435,10792.0,1,True,0.0
1997,001333095,ST MARY OF NAZARETH HOSPITAL,62,1,1400.0,0.0,0,0,0.0,0,0.0,0,0.0,1,1400.0,1,False,0.0
1997,009317371,S & C ELECTRIC CO,33,1,1400.0,0.0,0,0,0.0,0,0.0,0,0.0,1,1400.0,1,False,0.0
