year,geography,establishments,establishments_with_employment,total_employment,median_employment,share_actual_headcount,distinct_parents,estabs_ge_50,employment_ge_50,estabs_ge_500,employment_ge_500,mass_at_50,spike_ratio_50,spike_ratio_50_from_below,mass_at_500,spike_ratio_500,sample,mass_at_40,spike_ratio_40,spike_ratio_40_from_below,mass_at_60,spike_ratio_60,spike_ratio_60_from_below,spike_ratio_500_from_below
2022,cook_ex_chicago,124071,108079,1309634.0,4.0,0.3517,2671,4325,663276.0,164,227362.0,879,28.355,28.355,33,,all,623.0,23.962,21.119,314.0,27.304,23.259,
2022,illinois_ex_cook,359264,316762,3827732.0,4.0,0.4369,5143,12511,1925212.0,503,681927.0,2189,22.337,22.337,93,,all,1834.0,16.017,14.054,1051.0,22.126,19.463,
2023,chicago,52776,38103,1021691.0,5.0,1.0,2240,3502,736970.0,258,368323.0,562,36.258,38.759,48,,actual,407.0,24.667,19.381,284.0,35.5,25.818,
2023,cook_ex_chicago,54919,42291,928886.0,6.0,1.0,2037,3739,599176.0,155,215465.0,730,40.556,40.556,33,,actual,495.0,20.204,19.038,269.0,38.429,29.889,
2023,illinois_ex_cook,189653,152847,2860827.0,5.0,1.0,4308,10907,1731388.0,443,625064.0,1940,28.529,31.04,84,,actual,1500.0,18.987,15.075,897.0,24.243,24.243,
2023,chicago,131278,116605,1486427.0,3.0,0.402,3352,4509,851667.0,260,370306.0,635,15.488,15.119,48,,all,458.0,8.893,7.829,301.0,15.842,12.809,
2023,cook_ex_chicago,126717,114089,1355938.0,4.0,0.4334,2798,4671,698114.0,159,219115.0,807,18.988,18.135,33,,all,589.0,11.113,10.709,307.0,15.744,11.808,
2023,illinois_ex_cook,372888,336082,3950840.0,4.0,0.5086,5403,13012,1967898.0,475,652286.0,2072,17.195,16.251,89,,all,1724.0,11.305,9.146,981.0,15.209,13.915,
2024,chicago,47885,37544,1003532.0,5.0,1.0,2153,3478,722357.0,257,356626.0,563,35.188,38.828,47,,actual,397.0,24.812,18.905,281.0,35.125,25.545,
2024,cook_ex_chicago,50949,41477,919521.0,6.0,1.0,2010,3697,594510.0,155,215401.0,731,41.771,41.771,32,,actual,494.0,21.478,19.76,268.0,38.286,29.778,
2024,illinois_ex_cook,179079,150390,2820531.0,5.0,1.0,4281,10804,1701870.0,437,608290.0,1935,29.098,31.21,88,,actual,1500.0,19.108,15.075,892.0,23.787,23.787,
2024,chicago,139582,129241,1427881.0,3.0,0.3431,3428,4501,811950.0,257,356626.0,613,11.676,10.946,47,,all,453.0,7.19,6.916,312.0,10.759,10.23,
2024,cook_ex_chicago,131304,121832,1302467.0,3.0,0.388,2891,4718,686495.0,157,216767.0,763,13.625,12.932,32,,all,531.0,8.107,8.107,297.0,11.423,9.0,
2024,illinois_ex_cook,387277,358588,3798825.0,3.0,0.4624,5564,12941,1890985.0,439,609485.0,2022,13.849,13.849,88,,all,1628.0,7.284,6.869,943.0,12.408,11.714,
2025,chicago,39727,36121,956083.0,6.0,1.0,2080,3408,683472.0,245,325584.0,551,35.548,40.815,47,,actual,385.0,24.839,18.78,278.0,34.75,25.273,
2025,cook_ex_chicago,42987,40238,886149.0,6.0,1.0,1971,3644,568976.0,145,196394.0,717,42.176,42.176,31,,actual,480.0,20.87,19.2,269.0,35.867,29.889,
2025,illinois_ex_cook,153443,146449,2773389.0,5.0,1.0,4272,10652,1675618.0,425,595671.0,1893,28.254,30.78,85,,actual,1477.0,19.058,14.919,882.0,23.52,23.52,
2025,chicago,139025,129273,1371766.0,2.0,0.2858,3400,4569,784228.0,245,325584.0,591,11.047,10.46,47,,all,417.0,7.128,7.128,300.0,8.824,8.219,
2025,cook_ex_chicago,131497,122222,1281717.0,3.0,0.3269,2873,4826,674051.0,148,198642.0,744,14.733,15.34,31,,all,523.0,8.435,8.236,301.0,9.71,9.869,
2025,illinois_ex_cook,388114,358783,3758479.0,3.0,0.3954,5595,13113,1891608.0,428,599062.0,1974,13.474,13.474,85,,all,1574.0,8.578,7.155,930.0,11.411,10.22,
