sample,baseline,period,geo,n49,base_sum,ratio,lo,hi,se
all_verified,original,"1998-2002 (tax, Dec snapshots)",chicago,67.0,521.0,0.7715930902111324,0.5982891104304369,0.9950973308426727,0.12978736044343248
all_verified,original,"1998-2002 (tax, Dec snapshots)",cook_ex_chicago,101.0,557.0,1.087971274685817,0.8801540365357335,1.3448572015876052,0.1081495364551099
all_verified,original,"1998-2002 (tax, Dec snapshots)",illinois_ex_cook,252.0,1752.0,0.863013698630137,0.7562566528975472,0.9848411133570136,0.06737232535664574
all_verified,original,"2003-2011 (tax, $4)",chicago,208.0,702.0,1.7777777777777777,1.5229259106901536,2.075277467521866,0.07894424445261182
all_verified,original,"2003-2011 (tax, $4)",cook_ex_chicago,221.0,960.0,1.38125,1.1933381890984254,1.598751787153811,0.07460933952592477
all_verified,original,"2003-2011 (tax, $4)",illinois_ex_cook,528.0,2957.0,1.0713561041596213,0.9766024796243628,1.1753030796743102,0.047245317041730364
all_verified,original,"2012-2013 (phase-out, $2)",chicago,65.0,139.0,2.805755395683453,2.0899874016819076,3.7666558822659137,0.1502626367029806
all_verified,original,"2012-2013 (phase-out, $2)",cook_ex_chicago,50.0,186.0,1.6129032258064515,1.1803472780306563,2.2039757825825994,0.15929954201447505
all_verified,original,"2012-2013 (phase-out, $2)",illinois_ex_cook,109.0,572.0,1.1433566433566433,0.9315798819219352,1.403276776663278,0.10451106962832814
all_verified,original,2014-2022 (repealed),chicago,290.0,903.0,1.9269102990033222,1.688137564615706,2.1994554106438065,0.06749589301683355
all_verified,original,2014-2022 (repealed),cook_ex_chicago,227.0,948.0,1.4367088607594938,1.2429967430720381,1.6606096211349568,0.07389275109432211
all_verified,original,2014-2022 (repealed),illinois_ex_cook,609.0,2737.0,1.3350383631713554,1.2228010389152308,1.4575776225381578,0.044804013899580254
all_verified,original,"2023-2025 (repealed, new coding)",chicago,106.0,256.0,2.484375,1.9810785904583321,3.1155347245446987,0.11549983664123055
all_verified,original,"2023-2025 (repealed, new coding)",cook_ex_chicago,72.0,278.0,1.553956834532374,1.1991638201153687,2.0137213974297152,0.13223468225487275
all_verified,original,"2023-2025 (repealed, new coding)",illinois_ex_cook,236.0,783.0,1.8084291187739463,1.5634744641295413,2.091761619816608,0.07425919029835237
all_verified,original,DiD pre minus post,chicago_vs_cook_ex_chicago,,,-0.04118759571751751,-0.33067489483177676,0.24829970339674173,0.14769760158890777
all_verified,original,DiD pre minus post,chicago_vs_illinois_ex_cook,,,0.139481100927406,-0.10078811104776333,0.3797503129025753,0.12258633264039252
all_verified,skip_51,"1998-2002 (tax, Dec snapshots)",chicago,67.0,542.0,0.7416974169741698,0.5754315578704801,0.9560043254874406,0.129500546657197
all_verified,skip_51,"1998-2002 (tax, Dec snapshots)",cook_ex_chicago,101.0,573.0,1.057591623036649,0.8559664762331851,1.3067101015911613,0.10791751849023486
all_verified,skip_51,"1998-2002 (tax, Dec snapshots)",illinois_ex_cook,252.0,1812.0,0.8344370860927153,0.7314163035872516,0.9519684579519915,0.0672319146532725
all_verified,skip_51,"2003-2011 (tax, $4)",chicago,208.0,716.0,1.7430167597765365,1.4936649786351426,2.0339952186855244,0.07876763518339906
all_verified,skip_51,"2003-2011 (tax, $4)",cook_ex_chicago,221.0,954.0,1.389937106918239,1.2007401597307037,1.6089452372622626,0.07465323105651998
all_verified,skip_51,"2003-2011 (tax, $4)",illinois_ex_cook,528.0,3126.0,1.0134357005758157,0.9241558432387731,1.111340610694203,0.0470514295924886
all_verified,skip_51,"2012-2013 (phase-out, $2)",chicago,65.0,135.0,2.888888888888889,2.148930398101192,3.883643239315695,0.15097027121927944
all_verified,skip_51,"2012-2013 (phase-out, $2)",cook_ex_chicago,50.0,173.0,1.7341040462427746,1.2659061559110676,2.375465850413969,0.160562594712496
all_verified,skip_51,"2012-2013 (phase-out, $2)",illinois_ex_cook,109.0,600.0,1.09,0.8887871102090622,1.3367655610132925,0.10412002013672574
all_verified,skip_51,2014-2022 (repealed),chicago,290.0,483.0,3.6024844720496896,3.114347798958454,4.167130715361782,0.07428774620898232
all_verified,skip_51,2014-2022 (repealed),cook_ex_chicago,227.0,658.0,2.0699088145896654,1.7800383753984903,2.4069832200987427,0.07697430209178976
all_verified,skip_51,2014-2022 (repealed),illinois_ex_cook,609.0,2323.0,1.572965992251399,1.4386918387367738,1.719772049969985,0.045524871830533255
all_verified,skip_51,"2023-2025 (repealed, new coding)",chicago,106.0,141.0,4.51063829787234,3.505988844981668,5.803172444018163,0.12855411640904862
all_verified,skip_51,"2023-2025 (repealed, new coding)",cook_ex_chicago,72.0,190.0,2.2736842105263158,1.733522234742967,2.9821595509925425,0.13839092016323082
all_verified,skip_51,"2023-2025 (repealed, new coding)",illinois_ex_cook,236.0,663.0,2.1357466063348416,1.8408897438091485,2.477830941158033,0.07579962903297024
all_verified,skip_51,DiD pre minus post,chicago_vs_cook_ex_chicago,,,-0.32776030050065547,-0.6264347040561484,-0.02908589694516245,0.15238489977321074
all_verified,skip_51,DiD pre minus post,chicago_vs_illinois_ex_cook,,,-0.28638959437262623,-0.5343846741017523,-0.038394514643500216,0.12652810190261532
recent_verified,original,"1998-2002 (tax, Dec snapshots)",chicago,0.0,0.0,,,,
recent_verified,original,"1998-2002 (tax, Dec snapshots)",cook_ex_chicago,0.0,0.0,,,,
recent_verified,original,"1998-2002 (tax, Dec snapshots)",illinois_ex_cook,0.0,0.0,,,,
recent_verified,original,"2003-2011 (tax, $4)",chicago,170.0,563.0,1.8117229129662522,1.5261565240614323,2.150722983925598,0.08751315258552345
recent_verified,original,"2003-2011 (tax, $4)",cook_ex_chicago,179.0,764.0,1.405759162303665,1.1946112792486894,1.6542274936860972,0.08303910345331987
recent_verified,original,"2003-2011 (tax, $4)",illinois_ex_cook,461.0,2572.0,1.0754276827371694,0.973933889536049,1.1874981589852869,0.05057667333167583
recent_verified,original,"2012-2013 (phase-out, $2)",chicago,61.0,129.0,2.8372093023255816,2.092293356155249,3.847336513076189,0.1553878393164888
recent_verified,original,"2012-2013 (phase-out, $2)",cook_ex_chicago,45.0,164.0,1.6463414634146343,1.1837853988858928,2.2896381529195593,0.16828482759248375
recent_verified,original,"2012-2013 (phase-out, $2)",illinois_ex_cook,94.0,426.0,1.323943661971831,1.0589346245388138,1.6552738757019785,0.1139548845496147
recent_verified,original,2014-2022 (repealed),chicago,195.0,511.0,2.2896281800391387,1.941400613108238,2.700317063584373,0.08417334667596235
recent_verified,original,2014-2022 (repealed),cook_ex_chicago,166.0,549.0,1.814207650273224,1.5250712938512754,2.1581610063607064,0.08857533522552699
recent_verified,original,2014-2022 (repealed),illinois_ex_cook,392.0,1709.0,1.3762434172030429,1.2331783518412633,1.5359059300438591,0.056001409941870965
recent_verified,original,"2023-2025 (repealed, new coding)",chicago,27.0,60.0,2.7,1.7143606382151524,4.252314149950231,0.23174059571793565
recent_verified,original,"2023-2025 (repealed, new coding)",cook_ex_chicago,22.0,56.0,2.357142857142857,1.439475307943918,3.8598247697042534,0.25161813987009823
recent_verified,original,"2023-2025 (repealed, new coding)",illinois_ex_cook,61.0,170.0,2.152941176470588,1.6068943902451123,2.8845428408244826,0.14925078078230375
recent_verified,original,DiD pre minus post,chicago_vs_cook_ex_chicago,,,0.020960170723307137,-0.31559407048209864,0.3575144119287129,0.17171134755377845
recent_verified,original,DiD pre minus post,chicago_vs_illinois_ex_cook,,,0.012528039586262585,-0.2676756194403641,0.2927316986128893,0.14296105052378913
recent_verified,skip_51,"1998-2002 (tax, Dec snapshots)",chicago,0.0,0.0,,,,
recent_verified,skip_51,"1998-2002 (tax, Dec snapshots)",cook_ex_chicago,0.0,0.0,,,,
recent_verified,skip_51,"1998-2002 (tax, Dec snapshots)",illinois_ex_cook,0.0,0.0,,,,
recent_verified,skip_51,"2003-2011 (tax, $4)",chicago,170.0,565.0,1.8053097345132743,1.5208613000598852,2.1429588861259457,0.08747722243876545
recent_verified,skip_51,"2003-2011 (tax, $4)",cook_ex_chicago,179.0,756.0,1.4206349206349207,1.2070554429638067,1.672005697411782,0.08312246087263221
recent_verified,skip_51,"2003-2011 (tax, $4)",illinois_ex_cook,461.0,2714.0,1.019159911569639,0.9233410128854508,1.124922331896345,0.0503751648616736
recent_verified,skip_51,"2012-2013 (phase-out, $2)",chicago,61.0,124.0,2.9516129032258065,2.172387024225505,4.010343752442116,0.15639040492301015
recent_verified,skip_51,"2012-2013 (phase-out, $2)",cook_ex_chicago,45.0,155.0,1.7419354838709677,1.2499495329409895,2.427569393805306,0.16933350266692065
recent_verified,skip_51,"2012-2013 (phase-out, $2)",illinois_ex_cook,94.0,439.0,1.2847380410022777,1.028191954495683,1.6052954186049315,0.1136494707438563
recent_verified,skip_51,2014-2022 (repealed),chicago,195.0,334.0,3.502994011976048,2.935789115115318,4.179784911920707,0.09012334383639475
recent_verified,skip_51,2014-2022 (repealed),cook_ex_chicago,166.0,433.0,2.300230946882217,1.9233805447715862,2.7509181286966844,0.09128836293697609
recent_verified,skip_51,2014-2022 (repealed),illinois_ex_cook,392.0,1558.0,1.5096277278562258,1.351361155262655,1.6864299138962608,0.056505477008088875
recent_verified,skip_51,"2023-2025 (repealed, new coding)",chicago,27.0,32.0,5.0625,3.0333796008688028,8.448961100239321,0.2613178850309275
recent_verified,skip_51,"2023-2025 (repealed, new coding)",cook_ex_chicago,22.0,41.0,3.2195121951219514,1.9179134037915426,5.404445661648634,0.26428164778694807
recent_verified,skip_51,"2023-2025 (repealed, new coding)",illinois_ex_cook,61.0,157.0,2.3312101910828025,1.7344235353145476,3.133341334660067,0.15087368681961472
recent_verified,skip_51,DiD pre minus post,chicago_vs_cook_ex_chicago,,,-0.18098022899039423,-0.5261706205416636,0.16421016256087517,0.17611754670983132
recent_verified,skip_51,DiD pre minus post,chicago_vs_illinois_ex_cook,,,-0.2700014489252909,-0.5574273309264016,0.017424433075819867,0.14664585816383202
