year,geo,spike_ratio
1997,chicago,
1997,cook_ex_chicago,
1997,illinois_ex_cook,
1998,chicago,0.7155963302752293
1998,cook_ex_chicago,1.177570093457944
1998,illinois_ex_cook,0.8624999999999999
1999,chicago,0.7027027027027027
1999,cook_ex_chicago,1.232142857142857
1999,illinois_ex_cook,0.8103448275862069
2000,chicago,0.7155963302752293
2000,cook_ex_chicago,1.3274336283185841
2000,illinois_ex_cook,0.7374301675977654
2001,chicago,0.7799999999999999
2001,cook_ex_chicago,0.9230769230769231
2001,illinois_ex_cook,0.899182561307902
2002,chicago,0.9782608695652174
2002,cook_ex_chicago,0.7777777777777778
2002,illinois_ex_cook,1.0027855153203342
2003,chicago,1.096774193548387
2003,cook_ex_chicago,0.8421052631578947
2003,illinois_ex_cook,1.0
2004,chicago,1.3103448275862069
2004,cook_ex_chicago,1.2972972972972974
2004,illinois_ex_cook,0.9915966386554622
2005,chicago,1.3734939759036144
2005,cook_ex_chicago,1.2000000000000002
2005,illinois_ex_cook,1.1538461538461537
2006,chicago,1.4074074074074074
2006,cook_ex_chicago,1.4851485148514854
2006,illinois_ex_cook,1.0892857142857142
2007,chicago,1.5
2007,cook_ex_chicago,1.7454545454545456
2007,illinois_ex_cook,1.1066282420749278
2008,chicago,2.2816901408450705
2008,cook_ex_chicago,1.607142857142857
2008,illinois_ex_cook,1.0682492581602374
2009,chicago,2.2816901408450705
2009,cook_ex_chicago,1.3584905660377358
2009,illinois_ex_cook,1.064516129032258
2010,chicago,2.5714285714285716
2010,cook_ex_chicago,1.3663366336633664
2010,illinois_ex_cook,1.1712328767123288
2011,chicago,2.727272727272727
2011,cook_ex_chicago,1.5789473684210527
2011,illinois_ex_cook,1.006993006993007
2012,chicago,2.7761194029850746
2012,cook_ex_chicago,1.5625
2012,illinois_ex_cook,1.090909090909091
2013,chicago,2.8333333333333335
2013,cook_ex_chicago,1.6666666666666667
2013,illinois_ex_cook,1.1958041958041958
2014,chicago,2.5609756097560976
2014,cook_ex_chicago,2.0
2014,illinois_ex_cook,1.3263157894736841
2015,chicago,1.9444444444444444
2015,cook_ex_chicago,1.3157894736842106
2015,illinois_ex_cook,1.1779141104294477
2016,chicago,1.837837837837838
2016,cook_ex_chicago,1.4482758620689655
2016,illinois_ex_cook,1.1071428571428572
2017,chicago,1.8888888888888888
2017,cook_ex_chicago,1.4727272727272729
2017,illinois_ex_cook,1.1376146788990826
2018,chicago,1.8058252427184465
2018,cook_ex_chicago,1.3211009174311925
2018,illinois_ex_cook,1.2897196261682242
2019,chicago,1.7475728155339805
2019,cook_ex_chicago,1.2571428571428571
2019,illinois_ex_cook,1.3267326732673268
2020,chicago,1.878787878787879
2020,cook_ex_chicago,1.3398058252427183
2020,illinois_ex_cook,1.4634146341463414
2021,chicago,1.768421052631579
2021,cook_ex_chicago,1.3846153846153848
2021,illinois_ex_cook,1.574468085106383
2022,chicago,2.042553191489362
2022,cook_ex_chicago,1.5
2022,illinois_ex_cook,1.7333333333333334
2023,chicago,2.4545454545454546
2023,cook_ex_chicago,1.5625
2023,illinois_ex_cook,1.8181818181818181
2024,chicago,2.4705882352941178
2024,cook_ex_chicago,1.6304347826086956
2024,illinois_ex_cook,1.8069498069498071
2025,chicago,2.5301204819277108
2025,cook_ex_chicago,1.4666666666666666
2025,illinois_ex_cook,1.7999999999999998
