year,chicago_emp_class,firms_with_chicago_sites,firms_in_and_out,chicago_emp,emp_elsewhere_in_il,chicago_sites
2017,500+,343,176,576068.0,669661.0,5383.0
2017,under 50,98821,951,490503.0,257388.0,99671.0
2018,100-249,1115,236,158430.0,172296.0,2259.0
2018,250-499,333,135,109228.0,140084.0,1906.0
2018,50-99,1833,231,116360.0,88801.0,2574.0
2018,500+,325,162,573753.0,627218.0,4438.0
2018,under 50,93810,893,465193.0,239510.0,94755.0
2019,100-249,1117,233,158202.0,146421.0,2480.0
2019,250-499,318,126,104454.0,146941.0,1909.0
2019,50-99,1830,219,116156.0,91838.0,2520.0
2019,500+,309,157,552753.0,537281.0,4307.0
2019,under 50,100073,896,491728.0,288282.0,101084.0
2020,100-249,1077,239,152256.0,157488.0,2541.0
2020,250-499,294,112,97611.0,110766.0,1537.0
2020,50-99,1778,237,112793.0,96860.0,2538.0
2020,500+,301,167,533665.0,623692.0,5325.0
2020,under 50,98065,892,485381.0,311776.0,99347.0
2021,100-249,1078,255,152599.0,155602.0,2665.0
2021,250-499,296,117,98087.0,112943.0,1493.0
2021,50-99,1787,252,113783.0,145751.0,2547.0
2021,500+,294,166,521735.0,657553.0,5397.0
2021,under 50,102225,966,501980.0,263963.0,103580.0
2022,100-249,1075,249,152446.0,133609.0,2498.0
2022,250-499,304,127,100882.0,130685.0,1700.0
2022,50-99,1788,241,113885.0,166867.0,2610.0
2022,500+,295,158,506130.0,643065.0,7679.0
2022,under 50,107028,995,501773.0,231107.0,108631.0
2023,100-249,1319,282,195135.0,165240.0,3039.0
2023,250-499,321,132,108071.0,153237.0,1796.0
2023,50-99,1961,279,127153.0,126301.0,2880.0
2023,500+,307,173,521043.0,642451.0,8239.0
2023,under 50,112329,1020,527450.0,282453.0,113822.0
2024,100-249,1105,273,158209.0,159216.0,2869.0
2024,250-499,312,143,104568.0,164836.0,2269.0
2024,50-99,2178,254,141607.0,136600.0,3047.0
2024,500+,287,157,492820.0,589775.0,7831.0
2024,under 50,119996,1106,516222.0,278633.0,122149.0
2025,100-249,1127,285,161382.0,167126.0,2888.0
2025,250-499,295,131,99460.0,154821.0,2036.0
2025,50-99,2267,256,148063.0,142852.0,3160.0
2025,500+,284,157,461281.0,585132.0,8173.0
2025,under 50,119368,1095,487805.0,271428.0,121401.0
