sample,period,geo,k,n_k,base_sum,ratio,lo,hi,se_log
single_observed,pre_2006_2011,chicago,49,153.0,439.0,2.091116173120729,1.7396588428585227,2.5135772266141356,0.09388211778840806
single_observed,pre_2006_2011,chicago,29,147.0,1816.0,0.48568281938325986,0.4105435961430553,0.5745743040694669,0.08575186226191776
single_observed,pre_2006_2011,chicago,39,132.0,775.0,1.0219354838709678,0.8497144112434061,1.2290625172125367,0.09415986489159134
single_observed,pre_2006_2011,chicago,59,17.0,340.0,0.3,0.1843199959147169,0.4882812608223046,0.2485250608738542
single_observed,pre_2006_2011,chicago,69,16.0,238.0,0.40336134453781514,0.24313822136546245,0.66916823423989,0.25826668517690954
single_observed,pre_2006_2011,illinois_ex_cook,49,345.0,1908.0,1.0849056603773586,0.9673703874113834,1.2167214411725562,0.058503501940590986
single_observed,pre_2006_2011,illinois_ex_cook,29,663.0,6865.0,0.5794610342316096,0.535064506752397,0.6275413262426462,0.040668932243568656
single_observed,pre_2006_2011,illinois_ex_cook,39,331.0,3364.0,0.5903686087990488,0.5273370932146765,0.660934151494322,0.05760566983185737
single_observed,pre_2006_2011,illinois_ex_cook,59,120.0,1265.0,0.5691699604743082,0.4719920678914425,0.6863556952419689,0.09551883148010883
single_observed,pre_2006_2011,illinois_ex_cook,69,73.0,777.0,0.5637065637065637,0.44345611454154793,0.7165649081067984,0.12241581361894217
single_observed,phase_2012_2013,chicago,49,65.0,139.0,2.805755395683453,2.0899874016819076,3.7666558822659137,0.1502626367029806
single_observed,phase_2012_2013,chicago,29,50.0,525.0,0.5714285714285714,0.42754281954769724,0.7637377996204886,0.14800257398019098
single_observed,phase_2012_2013,chicago,39,39.0,217.0,1.0783410138248848,0.7668485600611135,1.5163611209026855,0.17392331807984004
single_observed,phase_2012_2013,chicago,59,4.0,97.0,0.24742268041237112,0.09102152972998627,0.672565962844663,0.5102051335987472
single_observed,phase_2012_2013,chicago,69,4.0,70.0,0.34285714285714286,0.12517375739390596,0.9391027548869136,0.5140872632984738
single_observed,phase_2012_2013,illinois_ex_cook,49,109.0,572.0,1.1433566433566433,0.9315798819219352,1.403276776663278,0.10451106962832814
single_observed,phase_2012_2013,illinois_ex_cook,29,184.0,2018.0,0.5470763131813677,0.47043202323718614,0.6362077359967867,0.0770085887901271
single_observed,phase_2012_2013,illinois_ex_cook,39,99.0,995.0,0.5969849246231156,0.4855765350901551,0.7339543294881358,0.10538517555443101
single_observed,phase_2012_2013,illinois_ex_cook,59,48.0,377.0,0.7639257294429708,0.5657196924672813,1.0315754036416664,0.15325094853615925
single_observed,phase_2012_2013,illinois_ex_cook,69,24.0,242.0,0.5950413223140496,0.39118382144007824,0.9051350180019907,0.21400677108826566
single_observed,post_2014_2022,chicago,49,290.0,903.0,1.9269102990033222,1.688137564615706,2.1994554106438065,0.06749589301683355
single_observed,post_2014_2022,chicago,29,197.0,1987.0,0.5948666331152491,0.5138513961682059,0.6886549571192303,0.07469547104872266
single_observed,post_2014_2022,chicago,39,118.0,755.0,0.937748344370861,0.7723676247583985,1.1385406756858356,0.09899030044627968
single_observed,post_2014_2022,chicago,59,31.0,361.0,0.5152354570637119,0.357020839436699,0.7435632514743453,0.1871580818950176
single_observed,post_2014_2022,chicago,69,7.0,248.0,0.1693548387096774,0.07990221311187613,0.35895202745163873,0.38326153070933033
single_observed,post_2014_2022,illinois_ex_cook,49,609.0,2737.0,1.3350383631713554,1.2228010389152308,1.4575776225381578,0.044804013899580254
single_observed,post_2014_2022,illinois_ex_cook,29,729.0,7698.0,0.5681995323460639,0.5266417547238229,0.6130366718218012,0.03875107719300475
single_observed,post_2014_2022,illinois_ex_cook,39,346.0,3744.0,0.5544871794871795,0.4966632020765773,0.619043309289185,0.0561895668918941
single_observed,post_2014_2022,illinois_ex_cook,59,183.0,1465.0,0.7494880546075086,0.6427269253369665,0.8739829029332243,0.07840328265431384
single_observed,post_2014_2022,illinois_ex_cook,69,108.0,1051.0,0.6165556612749763,0.5057761488507256,0.7515990706837735,0.10104817685231848
single_observed,DiD_log,chicago_vs_control,49,,,0.16607649489657594,-0.24179491894546956,0.5739479087386214,0.2080976601234926
single_observed,DiD_log_test_only,chicago_vs_control,49,,,0.28924713239981964,0.02050828089082829,0.557985983908811,0.13711165893315885
single_all,pre_2006_2011,chicago,49,153.0,509.0,1.8035363457760316,1.5053720732924278,2.1607570701248795,0.09219861308424322
single_all,pre_2006_2011,chicago,29,186.0,1888.0,0.5911016949152542,0.5084470202995083,0.6871929616695686,0.07685053742798849
single_all,pre_2006_2011,chicago,39,134.0,837.0,0.9605734767025089,0.8004400750513584,1.1527426385855837,0.09304530991614345
single_all,pre_2006_2011,chicago,59,17.0,345.0,0.2956521739130435,0.18167923180722975,0.4811238305556844,0.24843928863286174
single_all,pre_2006_2011,chicago,69,16.0,238.0,0.40336134453781514,0.24313822136546245,0.66916823423989,0.25826668517690954
single_all,pre_2006_2011,illinois_ex_cook,49,345.0,1978.0,1.0465116279069766,0.9334262057542158,1.1732974503962967,0.058344767524942644
single_all,pre_2006_2011,illinois_ex_cook,29,670.0,7169.0,0.5607476635514019,0.5180595713920579,0.6069532531431515,0.04039835122845932
single_all,pre_2006_2011,illinois_ex_cook,39,352.0,3609.0,0.5852036575228595,0.5245367410454801,0.6528871935558827,0.05583900210447964
single_all,pre_2006_2011,illinois_ex_cook,59,120.0,1266.0,0.5687203791469194,0.4716222677873347,0.6858091564982329,0.09551556286184554
single_all,pre_2006_2011,illinois_ex_cook,69,73.0,806.0,0.5434243176178659,0.4276591268746054,0.6905265675880957,0.12222653118725159
single_all,phase_2012_2013,chicago,49,70.0,146.0,2.8767123287671232,2.1634526904051974,3.825123544037764,0.14537891647074355
single_all,phase_2012_2013,chicago,29,57.0,557.0,0.6140035906642729,0.46751552075885483,0.8063912161390624,0.13906542268144173
single_all,phase_2012_2013,chicago,39,40.0,237.0,1.0126582278481013,0.7243667466767838,1.4156871379492386,0.1709368575898727
single_all,phase_2012_2013,chicago,59,4.0,103.0,0.23300970873786406,0.08581829748007856,0.632656740582714,0.5096162653056491
single_all,phase_2012_2013,chicago,69,4.0,74.0,0.3243243243243243,0.11858216506754266,0.8870327783989854,0.5133356733303399
single_all,phase_2012_2013,illinois_ex_cook,49,121.0,607.0,1.1960461285008237,0.9840155517354869,1.4537639562492894,0.09955857204634602
single_all,phase_2012_2013,illinois_ex_cook,29,197.0,2191.0,0.539479689639434,0.46629481914292276,0.6241509096506919,0.07438114498290123
single_all,phase_2012_2013,illinois_ex_cook,39,108.0,1094.0,0.5923217550274222,0.48607289246419316,0.7217951605984915,0.10086295673689616
single_all,phase_2012_2013,illinois_ex_cook,59,48.0,405.0,0.7111111111111111,0.527227331533103,0.9591289792872376,0.15265146293371207
single_all,phase_2012_2013,illinois_ex_cook,69,24.0,287.0,0.5017421602787456,0.3308319803258149,0.7609457681607895,0.21248761663720064
single_all,post_2014_2022,chicago,49,307.0,993.0,1.8549848942598188,1.6321272504647741,2.1082724750488913,0.06530220773944737
single_all,post_2014_2022,chicago,29,233.0,2434.0,0.5743631881676253,0.5021267733580542,0.656991599384087,0.06857617543308882
