kind,firms,emp,emp_obs,pct_observed
2-10 sites,115,157602.0,151631.0,96.2
50+ sites,35,137044.0,112825.0,82.3
11-50 sites,49,88780.0,74220.0,83.6
single-site,77,86306.0,86306.0,100.0
