unit,sample,data_year,threshold,control,chicago_spike,control_spike,gap
establishment,all,2018,40,cook_ex_chicago,24.789473684210527,21.789473684210527,3.0
establishment,all,2019,40,cook_ex_chicago,29.454545454545453,20.86206896551724,8.592476489028215
establishment,all,2020,40,cook_ex_chicago,30.0,21.614035087719294,8.385964912280706
establishment,all,2021,40,cook_ex_chicago,28.11428571428571,22.436363636363637,5.677922077922073
establishment,all,2022,40,cook_ex_chicago,27.6,24.431372549019606,3.168627450980395
establishment,all,2023,40,cook_ex_chicago,9.069306930693068,11.11320754716981,-2.0439006164767424
establishment,all,2024,40,cook_ex_chicago,7.023255813953488,7.8088235294117645,-0.7855677154582761
establishment,all,2025,40,cook_ex_chicago,6.725806451612903,9.50909090909091,-2.7832844574780067
establishment,all,2018,50,cook_ex_chicago,11.82905982905983,19.05263157894737,-7.22357174988754
establishment,all,2019,50,cook_ex_chicago,11.741379310344827,20.528735632183903,-8.787356321839075
establishment,all,2020,50,cook_ex_chicago,10.9672131147541,19.954545454545453,-8.987332339791353
establishment,all,2021,50,cook_ex_chicago,11.083333333333334,19.208791208791208,-8.125457875457874
establishment,all,2022,50,cook_ex_chicago,11.11864406779661,19.977272727272727,-8.858628659476116
establishment,all,2023,50,cook_ex_chicago,8.881118881118882,13.794871794871796,-4.913752913752914
establishment,all,2024,50,cook_ex_chicago,7.521472392638037,10.671328671328672,-3.149856278690635
establishment,all,2025,50,cook_ex_chicago,7.528662420382165,10.782608695652174,-3.2539462752700086
establishment,all,2018,60,cook_ex_chicago,31.157894736842103,33.18181818181818,-2.0239234449760772
establishment,all,2019,60,cook_ex_chicago,29.9,36.63157894736842,-6.731578947368419
establishment,all,2020,60,cook_ex_chicago,30.5,37.0,-6.5
establishment,all,2021,60,cook_ex_chicago,35.1764705882353,33.78947368421053,1.3869969040247696
establishment,all,2022,60,cook_ex_chicago,41.333333333333336,33.05263157894737,8.280701754385966
establishment,all,2023,60,cook_ex_chicago,15.842105263157896,17.542857142857144,-1.700751879699249
establishment,all,2024,60,cook_ex_chicago,12.235294117647058,11.88,0.3552941176470572
establishment,all,2025,60,cook_ex_chicago,10.909090909090908,10.379310344827584,0.5297805642633246
establishment,all,2018,40,illinois_ex_cook,24.789473684210527,22.566037735849054,2.223435948361473
establishment,all,2019,40,illinois_ex_cook,29.454545454545453,23.398692810457515,6.055852644087938
establishment,all,2020,40,illinois_ex_cook,30.0,23.712418300653596,6.287581699346404
establishment,all,2021,40,illinois_ex_cook,28.11428571428571,24.26315789473684,3.8511278195488714
establishment,all,2022,40,illinois_ex_cook,27.6,24.61744966442953,2.9825503355704726
establishment,all,2023,40,illinois_ex_cook,9.069306930693068,14.735042735042734,-5.665735804349666
establishment,all,2024,40,illinois_ex_cook,7.023255813953488,8.896174863387978,-1.8729190494344898
establishment,all,2025,40,illinois_ex_cook,6.725806451612903,9.962025316455696,-3.236218864842793
establishment,all,2018,50,illinois_ex_cook,11.82905982905983,17.39463601532567,-5.56557618626584
establishment,all,2019,50,illinois_ex_cook,11.741379310344827,17.41634241245136,-5.674963102106533
establishment,all,2020,50,illinois_ex_cook,10.9672131147541,17.19685039370079,-6.229637278946688
establishment,all,2021,50,illinois_ex_cook,11.083333333333334,16.288888888888888,-5.205555555555554
establishment,all,2022,50,illinois_ex_cook,11.11864406779661,16.52075471698113,-5.40211064918452
establishment,all,2023,50,illinois_ex_cook,8.881118881118882,13.23961661341853,-4.358497732299648
establishment,all,2024,50,illinois_ex_cook,7.521472392638037,11.96449704142012,-4.4430246487820835
establishment,all,2025,50,illinois_ex_cook,7.528662420382165,10.816438356164385,-3.2877759357822196
