data_year,geography,unit,sample,threshold,n_units,n_at_threshold,n_neighbours,spike_ratio
2019,illinois_ex_cook,firm,all,50,269259,1651,214,15.429906542056075
2019,illinois_ex_cook,firm,all,60,269259,767,88,17.431818181818183
2019,illinois_ex_cook,firm,rows,40,135283,1141,87,26.229885057471265
2019,illinois_ex_cook,firm,rows,50,135283,1543,181,17.049723756906076
2019,illinois_ex_cook,firm,rows,60,135283,684,48,28.5
2019,illinois_ex_cook,firm,firms,40,133344,1120,82,27.317073170731707
2019,illinois_ex_cook,firm,firms,50,133344,1525,173,17.63005780346821
2019,illinois_ex_cook,firm,firms,60,133344,661,43,30.74418604651163
2020,chicago,establishment,all,40,101830,480,32,30.0
2020,chicago,establishment,all,50,101830,669,122,10.967213114754099
2020,chicago,establishment,all,60,101830,305,20,30.5
2020,chicago,establishment,rows,40,39709,428,30,28.533333333333335
2020,chicago,establishment,rows,50,39709,582,104,11.192307692307692
2020,chicago,establishment,rows,60,39709,286,15,38.13333333333333
2020,chicago,firm,all,40,92695,393,32,24.5625
2020,chicago,firm,all,50,92695,530,100,10.6
2020,chicago,firm,all,60,92695,237,19,24.94736842105263
2020,chicago,firm,rows,40,34791,356,29,24.551724137931036
2020,chicago,firm,rows,50,34791,481,98,9.816326530612244
2020,chicago,firm,rows,60,34791,222,13,34.15384615384615
2020,chicago,firm,firms,40,33974,348,21,33.142857142857146
2020,chicago,firm,firms,50,33974,462,90,10.266666666666667
2020,chicago,firm,firms,60,33974,216,10,43.2
2020,cook_ex_chicago,establishment,all,40,103904,616,57,21.614035087719298
2020,cook_ex_chicago,establishment,all,50,103904,878,88,19.954545454545453
2020,cook_ex_chicago,establishment,all,60,103904,333,18,37.0
2020,cook_ex_chicago,establishment,rows,40,43877,512,52,19.692307692307693
2020,cook_ex_chicago,establishment,rows,50,43877,761,80,19.025
2020,cook_ex_chicago,establishment,rows,60,43877,300,7,85.71428571428571
2020,cook_ex_chicago,firm,all,40,91939,461,40,23.05
2020,cook_ex_chicago,firm,all,50,91939,669,86,15.55813953488372
2020,cook_ex_chicago,firm,all,60,91939,267,34,15.705882352941176
2020,cook_ex_chicago,firm,rows,40,36845,407,34,23.941176470588236
2020,cook_ex_chicago,firm,rows,50,36845,603,76,15.868421052631579
2020,cook_ex_chicago,firm,rows,60,36845,245,12,40.833333333333336
2020,cook_ex_chicago,firm,firms,40,35984,398,29,27.448275862068964
2020,cook_ex_chicago,firm,firms,50,35984,583,72,16.194444444444443
2020,cook_ex_chicago,firm,firms,60,35984,239,10,47.8
2020,illinois_ex_cook,establishment,all,40,309991,1814,153,23.712418300653596
2020,illinois_ex_cook,establishment,all,50,309991,2184,254,17.19685039370079
2020,illinois_ex_cook,establishment,all,60,309991,1035,83,24.93975903614458
2020,illinois_ex_cook,establishment,rows,40,157607,1537,126,24.396825396825395
2020,illinois_ex_cook,establishment,rows,50,157607,1983,202,19.633663366336634
2020,illinois_ex_cook,establishment,rows,60,157607,923,50,36.92
2020,illinois_ex_cook,firm,all,40,264438,1250,109,22.93577981651376
2020,illinois_ex_cook,firm,all,50,264438,1581,214,14.77570093457944
2020,illinois_ex_cook,firm,all,60,264438,742,94,15.787234042553191
2020,illinois_ex_cook,firm,rows,40,128401,1122,97,23.1340206185567
2020,illinois_ex_cook,firm,rows,50,128401,1491,174,17.137931034482758
2020,illinois_ex_cook,firm,rows,60,128401,677,57,23.75438596491228
2020,illinois_ex_cook,firm,firms,40,126424,1101,83,26.53012048192771
2020,illinois_ex_cook,firm,firms,50,126424,1470,167,17.604790419161677
2020,illinois_ex_cook,firm,firms,60,126424,656,45,29.155555555555555
2021,chicago,establishment,all,40,106056,492,35,28.114285714285714
2021,chicago,establishment,all,50,106056,665,120,11.083333333333334
2021,chicago,establishment,all,60,106056,299,17,35.1764705882353
2021,chicago,establishment,rows,40,39482,428,33,25.939393939393938
2021,chicago,establishment,rows,50,39482,577,98,11.775510204081632
2021,chicago,establishment,rows,60,39482,284,13,43.69230769230769
2021,chicago,firm,all,40,96684,391,40,19.55
