naics2,firms,employees,pct
62,32,74626.0,16.0
52,34,68810.0,14.7
54,34,56055.0,12.0
92,15,31167.0,6.7
61,12,31092.0,6.7
72,17,27155.0,5.8
42,13,22776.0,4.9
51,20,22179.0,4.8
23,16,21683.0,4.6
44,9,18096.0,3.9
48,12,16203.0,3.5
32,8,13454.0,2.9
71,10,10491.0,2.2
56,5,9612.0,2.1
45,6,9091.0,1.9
81,9,8811.0,1.9
31,8,7366.0,1.6
33,9,7085.0,1.5
53,7,6286.0,1.3
21,2,1747.0,0.4
11,1,1440.0,0.3
55,1,1325.0,0.3
