year,geo,band,n_establishments,n_observed,n_single,employment,employment_observed
2000,chicago,250-499,451,451,280,143880.0,143880.0
2000,chicago,50-99,2433,2428,1926,156386.0,156092.0
2000,chicago,500-999,197,197,111,124598.0,124598.0
2000,chicago,unknown,22962,0,22049,0.0,0.0
2000,cook_ex_chicago,1-9,55969,46931,50542,185980.0,159405.0
2000,cook_ex_chicago,10-49,16141,15996,12394,321002.0,318120.0
2000,cook_ex_chicago,100-249,1580,1566,1025,227194.0,225209.0
2000,cook_ex_chicago,1000+,73,73,30,150830.0,150830.0
2000,cook_ex_chicago,250-499,377,377,195,118688.0,118688.0
2000,cook_ex_chicago,50-99,2817,2778,2077,179338.0,176953.0
2000,cook_ex_chicago,500-999,116,116,54,74534.0,74534.0
2000,cook_ex_chicago,unknown,19325,1,18350,0.0,0.0
2000,il_ex_msa,1-9,113672,99192,100892,355584.0,317157.0
2000,il_ex_msa,10-49,25427,25287,19081,501456.0,498849.0
2000,il_ex_msa,100-249,1839,1825,1208,256637.0,254755.0
2000,il_ex_msa,1000+,113,113,61,254105.0,254105.0
2000,il_ex_msa,250-499,483,483,256,154914.0,154914.0
2000,il_ex_msa,50-99,3705,3677,2732,239763.0,238027.0
2000,il_ex_msa,500-999,177,177,78,114587.0,114587.0
2000,il_ex_msa,unknown,23191,0,21714,0.0,0.0
2000,msa_ex_cook,1-9,68283,58318,61803,220794.0,192510.0
2000,msa_ex_cook,10-49,18098,17949,13885,355459.0,352538.0
2000,msa_ex_cook,100-249,1613,1602,1013,231732.0,230322.0
2000,msa_ex_cook,1000+,82,82,37,153984.0,153984.0
2000,msa_ex_cook,250-499,409,409,215,128598.0,128598.0
2000,msa_ex_cook,50-99,2966,2940,2149,188905.0,187221.0
2000,msa_ex_cook,500-999,134,134,56,83698.0,83698.0
2000,msa_ex_cook,unknown,23120,0,21983,0.0,0.0
2001,chicago,1-9,65670,49790,62094,201157.0,161284.0
2001,chicago,10-49,14108,13957,11628,274740.0,272021.0
2001,chicago,100-249,1514,1510,1059,213195.0,212632.0
2001,chicago,1000+,118,118,54,279541.0,279541.0
2001,chicago,250-499,439,439,272,138955.0,138955.0
2001,chicago,50-99,2438,2430,1926,156668.0,156132.0
2001,chicago,500-999,200,200,114,127369.0,127369.0
2001,chicago,unknown,24753,0,23761,0.0,0.0
2001,cook_ex_chicago,1-9,57303,46768,51811,191545.0,159787.0
2001,cook_ex_chicago,10-49,16257,16069,12576,324318.0,320394.0
2001,cook_ex_chicago,100-249,1628,1612,1059,231765.0,229439.0
2001,cook_ex_chicago,1000+,76,76,37,171375.0,171375.0
2001,cook_ex_chicago,250-499,383,382,207,119943.0,119689.0
2001,cook_ex_chicago,50-99,2833,2798,2102,181432.0,179273.0
2001,cook_ex_chicago,500-999,118,118,60,72594.0,72594.0
2001,cook_ex_chicago,unknown,21191,0,20114,0.0,0.0
2001,il_ex_msa,1-9,117971,100803,105051,369365.0,322734.0
2001,il_ex_msa,10-49,26200,25966,19679,513542.0,509040.0
2001,il_ex_msa,100-249,1849,1839,1238,258812.0,257445.0
2001,il_ex_msa,1000+,105,105,58,256144.0,256144.0
2001,il_ex_msa,250-499,466,466,243,150087.0,150087.0
2001,il_ex_msa,50-99,3812,3776,2817,245735.0,243375.0
2001,il_ex_msa,500-999,162,162,76,105189.0,105189.0
2001,il_ex_msa,unknown,34162,0,32269,0.0,0.0
2001,msa_ex_cook,1-9,71549,59347,65111,231428.0,195930.0
2001,msa_ex_cook,10-49,18928,18687,14532,372914.0,368018.0
2001,msa_ex_cook,100-249,1716,1698,1096,244387.0,241712.0
2001,msa_ex_cook,1000+,90,90,44,194493.0,194493.0
2001,msa_ex_cook,250-499,442,442,244,139068.0,139068.0
2001,msa_ex_cook,50-99,3040,3012,2244,194948.0,193098.0
2001,msa_ex_cook,500-999,139,139,67,84757.0,84757.0
2001,msa_ex_cook,unknown,28776,0,27325,0.0,0.0
2002,chicago,1-9,63376,48003,59890,194818.0,156495.0
2002,chicago,10-49,13702,13522,11293,265877.0,262452.0
2002,chicago,100-249,1482,1477,1033,210378.0,209574.0
2002,chicago,1000+,115,115,54,274501.0,274501.0
2002,chicago,250-499,415,415,250,131229.0,131229.0
2002,chicago,50-99,2365,2354,1848,152170.0,151438.0
2002,chicago,500-999,185,185,109,117333.0,117333.0
2002,chicago,unknown,28948,0,27698,0.0,0.0
2002,cook_ex_chicago,1-9,57351,46241,51970,191097.0,157463.0
