year,geo,band,n_establishments,n_observed,n_single,employment,employment_observed
2010,il_ex_msa,1-9,145671,95478,129579,472115.0,308672.0
2010,il_ex_msa,10-49,29621,25572,21634,561887.0,493909.0
2010,il_ex_msa,100-249,2040,1993,1252,282620.0,276063.0
2010,il_ex_msa,1000+,93,93,51,245585.0,245585.0
2010,il_ex_msa,250-499,472,467,214,153950.0,151860.0
2010,il_ex_msa,50-99,4160,3924,2946,267927.0,251721.0
2010,il_ex_msa,500-999,172,172,84,111412.0,111412.0
2010,il_ex_msa,unknown,3470,0,3317,0.0,0.0
2010,msa_ex_cook,1-9,110600,60103,100085,375213.0,202407.0
2010,msa_ex_cook,10-49,23737,20018,17394,445465.0,386510.0
2010,msa_ex_cook,100-249,2073,1983,1158,288609.0,275288.0
2010,msa_ex_cook,1000+,91,91,40,198540.0,198540.0
2010,msa_ex_cook,250-499,446,442,225,140738.0,139198.0
2010,msa_ex_cook,50-99,3631,3449,2620,233480.0,220971.0
2010,msa_ex_cook,500-999,158,158,74,97946.0,97946.0
2010,msa_ex_cook,unknown,2393,0,2185,0.0,0.0
2011,chicago,1-9,91032,37552,85097,295930.0,130241.0
2011,chicago,10-49,16227,12356,12952,293755.0,238661.0
2011,chicago,100-249,1376,1339,841,192603.0,187161.0
2011,chicago,1000+,108,108,37,263907.0,263907.0
2011,chicago,250-499,357,352,182,113042.0,111335.0
2011,chicago,50-99,2371,2253,1749,152432.0,143955.0
2011,chicago,500-999,168,168,73,105635.0,105635.0
2011,chicago,unknown,1893,0,1676,0.0,0.0
2011,cook_ex_chicago,1-9,81001,38856,73199,282740.0,136584.0
2011,cook_ex_chicago,10-49,17632,14427,13167,328689.0,278880.0
2011,cook_ex_chicago,100-249,1367,1320,805,190207.0,183009.0
2011,cook_ex_chicago,1000+,67,67,23,155098.0,155098.0
2011,cook_ex_chicago,250-499,325,321,147,102472.0,101102.0
2011,cook_ex_chicago,50-99,2880,2690,2063,183584.0,170517.0
2011,cook_ex_chicago,500-999,106,106,52,66931.0,66931.0
2011,cook_ex_chicago,unknown,1924,0,1788,0.0,0.0
2011,il_ex_msa,1-9,138817,87847,122295,454489.0,287756.0
2011,il_ex_msa,10-49,28842,24620,20741,547557.0,476096.0
2011,il_ex_msa,100-249,1774,1716,1063,245133.0,237174.0
2011,il_ex_msa,1000+,80,80,35,202881.0,202881.0
2011,il_ex_msa,250-499,399,393,176,129782.0,127242.0
2011,il_ex_msa,50-99,4134,3872,2869,266928.0,248698.0
2011,il_ex_msa,500-999,151,151,67,98971.0,98971.0
2011,il_ex_msa,unknown,3569,0,3420,0.0,0.0
2011,msa_ex_cook,1-9,104670,55063,94044,357693.0,186785.0
2011,msa_ex_cook,10-49,22865,19107,16522,428409.0,368538.0
2011,msa_ex_cook,100-249,1753,1685,934,245313.0,234851.0
2011,msa_ex_cook,1000+,82,82,30,168249.0,168249.0
2011,msa_ex_cook,250-499,384,376,178,121606.0,118726.0
2011,msa_ex_cook,50-99,3493,3302,2487,224997.0,211961.0
2011,msa_ex_cook,500-999,142,142,62,87898.0,87898.0
2011,msa_ex_cook,unknown,2384,0,2147,0.0,0.0
2012,chicago,1-9,94788,37592,88868,309478.0,130804.0
2012,chicago,10-49,16743,12526,13214,304725.0,241783.0
2012,chicago,100-249,1386,1334,836,194409.0,186719.0
2012,chicago,1000+,114,114,45,260043.0,260043.0
2012,chicago,250-499,344,333,170,109172.0,105638.0
2012,chicago,50-99,2402,2231,1754,155151.0,142657.0
2012,chicago,500-999,167,167,72,105051.0,105051.0
2012,chicago,unknown,3439,0,2854,0.0,0.0
2012,cook_ex_chicago,1-9,87966,38378,80185,307669.0,135205.0
2012,cook_ex_chicago,10-49,18317,14047,13583,341090.0,271585.0
2012,cook_ex_chicago,100-249,1503,1426,868,209713.0,198609.0
2012,cook_ex_chicago,1000+,64,64,23,145930.0,145930.0
2012,cook_ex_chicago,250-499,366,340,187,115252.0,107242.0
2012,cook_ex_chicago,50-99,2820,2573,2020,180453.0,162861.0
2012,cook_ex_chicago,500-999,114,114,61,71361.0,71361.0
2012,cook_ex_chicago,unknown,3846,0,3193,0.0,0.0
2012,il_ex_msa,1-9,159479,90142,141993,523559.0,294484.0
2012,il_ex_msa,10-49,30930,25034,22268,586267.0,484688.0
2012,il_ex_msa,100-249,1994,1916,1195,275919.0,265734.0
2012,il_ex_msa,1000+,94,94,44,231861.0,231861.0
2012,il_ex_msa,250-499,470,443,226,151966.0,143426.0
2012,il_ex_msa,50-99,4353,3937,3056,281464.0,252219.0
2012,il_ex_msa,500-999,168,168,76,110160.0,110160.0
2012,il_ex_msa,unknown,7875,0,6843,0.0,0.0
2012,msa_ex_cook,1-9,118367,56655,107214,404945.0,191808.0
2012,msa_ex_cook,10-49,24718,19583,17708,460333.0,377975.0
2012,msa_ex_cook,100-249,1968,1873,1051,273840.0,259976.0
2012,msa_ex_cook,1000+,86,86,32,182968.0,182968.0
2012,msa_ex_cook,250-499,438,419,203,137489.0,131089.0
2012,msa_ex_cook,50-99,3726,3440,2648,239896.0,220205.0
2012,msa_ex_cook,500-999,156,156,73,96577.0,96577.0
2012,msa_ex_cook,unknown,4936,0,3974,0.0,0.0
2013,chicago,1-9,113560,38447,107031,373801.0,134082.0
2013,chicago,10-49,17421,12949,13202,316065.0,249393.0
2013,chicago,100-249,1490,1380,848,210159.0,193796.0
2013,chicago,1000+,121,120,41,271031.0,269931.0
2013,chicago,250-499,375,354,183,119273.0,111709.0
2013,chicago,50-99,2483,2263,1692,158555.0,144142.0
2013,chicago,500-999,170,169,72,107514.0,107013.0
2013,chicago,unknown,3724,0,3197,0.0,0.0
2013,cook_ex_chicago,1-9,98987,38947,90820,339657.0,137143.0
2013,cook_ex_chicago,10-49,18472,14171,13192,342351.0,274519.0
2013,cook_ex_chicago,100-249,1603,1451,878,223678.0,201459.0
2013,cook_ex_chicago,1000+,67,67,25,167702.0,167702.0
2013,cook_ex_chicago,250-499,362,343,170,114551.0,108384.0
2013,cook_ex_chicago,50-99,2832,2570,1923,179266.0,162554.0
2013,cook_ex_chicago,500-999,118,117,62,73729.0,73179.0
2013,cook_ex_chicago,unknown,3568,0,3074,0.0,0.0
2013,il_ex_msa,1-9,168276,87735,150598,542326.0,286794.0
2013,il_ex_msa,10-49,31649,24800,21920,590645.0,480613.0
2013,il_ex_msa,100-249,2042,1891,1163,282719.0,262172.0
2013,il_ex_msa,1000+,97,91,45,235212.0,224862.0
2013,il_ex_msa,250-499,464,430,199,150841.0,139448.0
2013,il_ex_msa,50-99,4381,3886,2923,279823.0,249011.0
2013,il_ex_msa,500-999,165,159,75,107672.0,103725.0
2013,il_ex_msa,unknown,6896,0,5951,0.0,0.0
2013,msa_ex_cook,1-9,130768,56585,119324,438436.0,191441.0
2013,msa_ex_cook,10-49,24958,19669,17122,465160.0,379776.0
2013,msa_ex_cook,100-249,2126,1921,1079,296923.0,267338.0
2013,msa_ex_cook,1000+,90,89,33,192319.0,189819.0
2013,msa_ex_cook,250-499,459,416,195,143850.0,129593.0
2013,msa_ex_cook,50-99,3786,3406,2538,241235.0,217387.0
2013,msa_ex_cook,500-999,161,154,69,99799.0,95143.0
2013,msa_ex_cook,unknown,4641,0,3971,0.0,0.0
2014,chicago,1-9,107795,36531,101023,359261.0,128768.0
2014,chicago,10-49,17347,12604,12966,314385.0,242888.0
2014,chicago,100-249,1446,1355,812,203035.0,189576.0
2014,chicago,1000+,128,127,47,294059.0,292959.0
2014,chicago,250-499,369,348,169,116182.0,108884.0
2014,chicago,50-99,2470,2235,1673,156735.0,141556.0
2014,chicago,500-999,180,179,76,112655.0,112154.0
2014,chicago,unknown,4908,0,4380,0.0,0.0
2014,cook_ex_chicago,1-9,93617,37272,85235,325628.0,133040.0
2014,cook_ex_chicago,10-49,18385,13903,12931,340307.0,269496.0
2014,cook_ex_chicago,100-249,1533,1423,850,213301.0,198034.0
2014,cook_ex_chicago,1000+,70,69,27,181003.0,179303.0
2014,cook_ex_chicago,250-499,357,340,166,112410.0,106837.0
2014,cook_ex_chicago,50-99,2761,2507,1866,174567.0,158297.0
2014,cook_ex_chicago,500-999,112,112,56,70364.0,70364.0
2014,cook_ex_chicago,unknown,5043,0,4551,0.0,0.0
2014,il_ex_msa,1-9,161366,84743,143488,526373.0,280639.0
2014,il_ex_msa,10-49,31345,24655,21465,584094.0,476246.0
2014,il_ex_msa,100-249,2005,1882,1135,277764.0,261416.0
2014,il_ex_msa,1000+,110,104,50,281248.0,269098.0
2014,il_ex_msa,250-499,476,444,214,153664.0,143068.0
2014,il_ex_msa,50-99,4338,3863,2861,276444.0,247014.0
2014,il_ex_msa,500-999,157,153,69,102203.0,99731.0
2014,il_ex_msa,unknown,10778,0,9825,0.0,0.0
2014,msa_ex_cook,1-9,127153,54721,115288,430954.0,187774.0
2014,msa_ex_cook,10-49,25139,19553,17011,466877.0,377176.0
2014,msa_ex_cook,100-249,2112,1934,1071,294538.0,269162.0
2014,msa_ex_cook,1000+,101,98,41,212421.0,204421.0
2014,msa_ex_cook,250-499,449,417,193,140516.0,129802.0
2014,msa_ex_cook,50-99,3686,3316,2461,234755.0,211026.0
2014,msa_ex_cook,500-999,160,153,64,98893.0,94237.0
2014,msa_ex_cook,unknown,7792,0,7113,0.0,0.0
2015,chicago,1-9,99642,33956,92916,335525.0,120620.0
2015,chicago,10-49,17316,12263,12831,308849.0,234253.0
2015,chicago,100-249,1404,1331,792,196934.0,186531.0
2015,chicago,1000+,130,129,49,295595.0,294495.0
2015,chicago,250-499,381,359,182,120421.0,112654.0
2015,chicago,50-99,2414,2192,1607,153370.0,138979.0
2015,chicago,500-999,189,184,76,117553.0,114909.0
2015,chicago,unknown,6838,0,6259,0.0,0.0
2015,cook_ex_chicago,1-9,90611,34685,82259,315477.0,125337.0
2015,cook_ex_chicago,10-49,18426,13713,12923,337051.0,263677.0
2015,cook_ex_chicago,100-249,1510,1404,818,210601.0,195871.0
2015,cook_ex_chicago,1000+,72,71,27,173281.0,171581.0
2015,cook_ex_chicago,250-499,371,350,171,117545.0,110068.0
2015,cook_ex_chicago,50-99,2716,2457,1820,171650.0,154763.0
2015,cook_ex_chicago,500-999,116,115,55,72706.0,72106.0
2015,cook_ex_chicago,unknown,6192,0,5672,0.0,0.0
2015,il_ex_msa,1-9,153769,80266,135994,505250.0,268091.0
2015,il_ex_msa,10-49,31068,24347,20963,575524.0,468990.0
2015,il_ex_msa,100-249,2005,1877,1117,278330.0,260721.0
2015,il_ex_msa,1000+,110,106,47,278437.0,271787.0
2015,il_ex_msa,250-499,485,450,219,156838.0,144864.0
2015,il_ex_msa,50-99,4356,3852,2813,277678.0,246174.0
2015,il_ex_msa,500-999,169,156,67,108783.0,101083.0
2015,il_ex_msa,unknown,11890,0,10898,0.0,0.0
2015,msa_ex_cook,1-9,121531,50289,109714,415276.0,176543.0
2015,msa_ex_cook,10-49,25708,19710,17433,469401.0,373893.0
2015,msa_ex_cook,100-249,2080,1908,1032,291231.0,266769.0
2015,msa_ex_cook,1000+,102,97,41,210769.0,199369.0
2015,msa_ex_cook,250-499,451,416,188,142132.0,129895.0
2015,msa_ex_cook,50-99,3677,3307,2458,234010.0,210010.0
2015,msa_ex_cook,500-999,158,149,66,97016.0,91280.0
2015,msa_ex_cook,unknown,8424,0,7690,0.0,0.0
2016,chicago,1-9,95015,32470,88541,334096.0,116668.0
2016,chicago,10-49,16827,11971,12245,306459.0,228410.0
2016,chicago,100-249,1451,1307,806,201855.0,182892.0
2016,chicago,1000+,127,127,38,318865.0,318865.0
2016,chicago,250-499,359,355,176,112874.0,111479.0
2016,chicago,50-99,2470,2173,1643,155886.0,137668.0
2016,chicago,500-999,177,177,64,109829.0,109829.0
2016,chicago,unknown,9569,0,8908,0.0,0.0
2016,cook_ex_chicago,1-9,89862,33956,81853,333485.0,124187.0
2016,cook_ex_chicago,10-49,18971,13616,13339,350383.0,260954.0
2016,cook_ex_chicago,100-249,1542,1382,824,213357.0,192464.0
2016,cook_ex_chicago,1000+,69,69,19,163384.0,163384.0
2016,cook_ex_chicago,250-499,348,338,167,109567.0,106414.0
2016,cook_ex_chicago,50-99,2871,2455,1949,179851.0,154396.0
2016,cook_ex_chicago,500-999,112,112,52,69286.0,69286.0
2016,cook_ex_chicago,unknown,7975,0,7411,0.0,0.0
2016,il_ex_msa,1-9,149706,77274,132222,495690.0,261669.0
2016,il_ex_msa,10-49,31786,23994,21739,597687.0,462926.0
2016,il_ex_msa,100-249,2069,1900,1130,284737.0,262906.0
2016,il_ex_msa,1000+,125,110,47,300427.0,283587.0
2016,il_ex_msa,250-499,460,440,188,148301.0,141760.0
2016,il_ex_msa,50-99,4412,3868,2869,281113.0,246988.0
2016,il_ex_msa,500-999,169,163,63,108588.0,105420.0
2016,il_ex_msa,unknown,13305,0,12285,0.0,0.0
2016,msa_ex_cook,1-9,118171,49156,106848,418368.0,174562.0
2016,msa_ex_cook,10-49,27371,19607,19012,502521.0,371491.0
2016,msa_ex_cook,100-249,2114,1894,1048,294212.0,264631.0
2016,msa_ex_cook,1000+,104,99,42,222304.0,216804.0
2016,msa_ex_cook,250-499,418,404,179,131063.0,126712.0
2016,msa_ex_cook,50-99,3897,3277,2607,246596.0,207977.0
2016,msa_ex_cook,500-999,174,143,87,102587.0,86995.0
2016,msa_ex_cook,unknown,11091,0,10304,0.0,0.0
2017,chicago,1-9,83323,29953,77287,294119.0,109605.0
2017,chicago,10-49,15640,11447,11191,286262.0,218425.0
2017,chicago,100-249,1406,1253,798,194959.0,175101.0
2017,chicago,1000+,130,130,40,327309.0,327309.0
2017,chicago,250-499,359,354,170,114233.0,112438.0
2017,chicago,50-99,2368,2099,1571,149366.0,133028.0
2017,chicago,500-999,176,176,68,109421.0,109421.0
2017,chicago,unknown,9132,0,8485,0.0,0.0
2017,cook_ex_chicago,1-9,83199,32103,75651,305932.0,119525.0
2017,cook_ex_chicago,10-49,17921,13222,12498,331138.0,252799.0
2017,cook_ex_chicago,100-249,1469,1321,788,202368.0,182607.0
2017,cook_ex_chicago,1000+,69,69,16,168478.0,168478.0
2017,cook_ex_chicago,250-499,337,331,162,106227.0,104344.0
2017,cook_ex_chicago,50-99,2741,2397,1885,171520.0,150744.0
2017,cook_ex_chicago,500-999,111,111,50,68704.0,68704.0
2017,cook_ex_chicago,unknown,7182,0,6576,0.0,0.0
2017,il_ex_msa,1-9,140170,73800,123502,465898.0,254038.0
2017,il_ex_msa,10-49,30420,23624,20667,572498.0,455673.0
2017,il_ex_msa,100-249,2020,1870,1112,279080.0,259793.0
2017,il_ex_msa,1000+,120,106,50,290606.0,275206.0
2017,il_ex_msa,250-499,440,426,181,142267.0,137703.0
2017,il_ex_msa,50-99,4308,3822,2812,274240.0,243981.0
2017,il_ex_msa,500-999,169,163,62,108999.0,105826.0
2017,il_ex_msa,unknown,11853,0,10781,0.0,0.0
2017,msa_ex_cook,1-9,110986,46708,100261,391324.0,168983.0
2017,msa_ex_cook,10-49,26116,19287,17942,478961.0,365112.0
2017,msa_ex_cook,100-249,2049,1851,1047,285389.0,259031.0
2017,msa_ex_cook,1000+,108,101,41,227079.0,219379.0
2017,msa_ex_cook,250-499,401,386,168,125851.0,121074.0
2017,msa_ex_cook,50-99,3775,3236,2559,238455.0,205028.0
2017,msa_ex_cook,500-999,143,140,54,88290.0,86784.0
2017,msa_ex_cook,unknown,10037,0,9220,0.0,0.0
2018,chicago,1-9,77034,26569,71629,272624.0,99122.0
2018,chicago,10-49,14890,10726,10956,272179.0,205695.0
2018,chicago,100-249,1328,1203,764,184122.0,167640.0
2018,chicago,1000+,131,131,45,348010.0,348010.0
2018,chicago,250-499,332,328,152,105400.0,104145.0
2018,chicago,50-99,2201,1953,1480,138785.0,123689.0
2018,chicago,500-999,164,164,62,101844.0,101844.0
2018,chicago,unknown,9852,0,9496,0.0,0.0
2018,cook_ex_chicago,1-9,79780,30046,72710,292573.0,113737.0
2018,cook_ex_chicago,10-49,17736,12733,12397,327013.0,244266.0
2018,cook_ex_chicago,100-249,1408,1259,772,192116.0,173287.0
2018,cook_ex_chicago,1000+,65,65,11,168917.0,168917.0
2018,cook_ex_chicago,250-499,331,325,160,104445.0,102512.0
2018,cook_ex_chicago,50-99,2618,2310,1833,163241.0,145201.0
2018,cook_ex_chicago,500-999,107,107,53,66443.0,66443.0
2018,cook_ex_chicago,unknown,7779,0,7409,0.0,0.0
2018,il_ex_msa,1-9,135695,69450,120076,454607.0,242458.0
2018,il_ex_msa,10-49,30120,23008,20607,563247.0,442566.0
2018,il_ex_msa,100-249,1937,1787,1078,268025.0,248340.0
2018,il_ex_msa,1000+,110,98,45,269362.0,255992.0
2018,il_ex_msa,250-499,421,403,178,135729.0,129602.0
2018,il_ex_msa,50-99,4095,3639,2722,260617.0,232228.0
2018,il_ex_msa,500-999,156,150,52,100129.0,96956.0
2018,il_ex_msa,unknown,11381,0,10867,0.0,0.0
2018,msa_ex_cook,1-9,108830,44363,98750,384473.0,162146.0
2018,msa_ex_cook,10-49,26231,18798,18337,480438.0,356718.0
2018,msa_ex_cook,100-249,1938,1741,1014,269623.0,243810.0
2018,msa_ex_cook,1000+,108,99,41,228523.0,218623.0
2018,msa_ex_cook,250-499,398,383,178,126042.0,121215.0
2018,msa_ex_cook,50-99,3646,3155,2519,229983.0,199591.0
2018,msa_ex_cook,500-999,133,124,52,82436.0,77918.0
2018,msa_ex_cook,unknown,10856,0,10375,0.0,0.0
2019,chicago,1-9,82205,27009,76845,294423.0,100678.0
2019,chicago,10-49,15448,10648,11394,277907.0,203514.0
2019,chicago,100-249,1299,1163,755,180742.0,162355.0
2019,chicago,1000+,127,127,38,333787.0,333787.0
2019,chicago,250-499,320,315,152,102301.0,100581.0
2019,chicago,50-99,2192,1942,1492,137982.0,122739.0
2019,chicago,500-999,154,154,50,96151.0,96151.0
2019,chicago,unknown,10555,0,10114,0.0,0.0
2019,cook_ex_chicago,1-9,79018,28866,72484,291326.0,110171.0
2019,cook_ex_chicago,10-49,17652,12372,12332,324458.0,237746.0
2019,cook_ex_chicago,100-249,1387,1241,774,189666.0,171264.0
2019,cook_ex_chicago,1000+,68,68,18,192917.0,192917.0
2019,cook_ex_chicago,250-499,312,305,153,97729.0,95461.0
2019,cook_ex_chicago,50-99,2563,2245,1803,159802.0,141171.0
2019,cook_ex_chicago,500-999,103,103,48,63842.0,63842.0
2019,cook_ex_chicago,unknown,8344,0,7835,0.0,0.0
2019,il_ex_msa,1-9,135330,68387,120288,454925.0,239222.0
2019,il_ex_msa,10-49,30226,22787,20636,566165.0,438478.0
2019,il_ex_msa,100-249,1886,1738,1075,261425.0,241791.0
2019,il_ex_msa,1000+,109,92,44,251902.0,233032.0
2019,il_ex_msa,250-499,416,398,183,134268.0,128390.0
2019,il_ex_msa,50-99,4024,3559,2676,255600.0,226836.0
2019,il_ex_msa,500-999,159,154,60,101403.0,98730.0
2019,il_ex_msa,unknown,12187,0,11237,0.0,0.0
2019,msa_ex_cook,1-9,107582,42713,97912,381411.0,157531.0
2019,msa_ex_cook,10-49,25902,18454,17943,474197.0,351268.0
2019,msa_ex_cook,100-249,1954,1724,1058,270950.0,240719.0
2019,msa_ex_cook,1000+,100,93,37,209313.0,201613.0
2019,msa_ex_cook,250-499,384,370,180,121880.0,117351.0
2019,msa_ex_cook,50-99,3597,3094,2510,226822.0,195584.0
2019,msa_ex_cook,500-999,137,122,53,83269.0,75741.0
2019,msa_ex_cook,unknown,11667,0,10987,0.0,0.0
2020,chicago,1-9,82405,25763,76372,294797.0,96878.0
2020,chicago,10-49,15420,10356,11105,277683.0,198463.0
2020,chicago,100-249,1254,1124,709,174943.0,157243.0
2020,chicago,1000+,121,121,28,304555.0,304555.0
2020,chicago,250-499,311,306,137,100096.0,98376.0
2020,chicago,50-99,2166,1891,1418,136282.0,119465.0
2020,chicago,500-999,148,148,42,93350.0,93350.0
2020,chicago,unknown,9463,0,8808,0.0,0.0
2020,cook_ex_chicago,1-9,81793,27883,74600,298460.0,107444.0
2020,cook_ex_chicago,10-49,17763,12113,12198,327915.0,233906.0
2020,cook_ex_chicago,100-249,1358,1206,743,185717.0,166222.0
2020,cook_ex_chicago,1000+,66,66,15,174917.0,174917.0
2020,cook_ex_chicago,250-499,306,299,143,95219.0,92951.0
2020,cook_ex_chicago,50-99,2523,2215,1724,157532.0,139617.0
2020,cook_ex_chicago,500-999,95,95,45,58289.0,58289.0
2020,cook_ex_chicago,unknown,7988,0,7048,0.0,0.0
2020,il_ex_msa,1-9,133104,65384,116629,448958.0,231256.0
2020,il_ex_msa,10-49,29969,22281,19932,562709.0,429880.0
2020,il_ex_msa,100-249,1817,1668,1010,251531.0,232870.0
2020,il_ex_msa,1000+,106,92,37,249582.0,234182.0
2020,il_ex_msa,250-499,410,391,158,133105.0,126850.0
2020,il_ex_msa,50-99,3937,3503,2593,250140.0,223541.0
2020,il_ex_msa,500-999,155,151,48,98354.0,96354.0
2020,il_ex_msa,unknown,12910,0,10493,0.0,0.0
2020,msa_ex_cook,1-9,108870,40845,98268,385296.0,153059.0
2020,msa_ex_cook,10-49,25566,17959,17362,470047.0,343196.0
2020,msa_ex_cook,100-249,1911,1697,1006,265043.0,236590.0
2020,msa_ex_cook,1000+,95,92,32,218213.0,214913.0
2020,msa_ex_cook,250-499,377,364,169,119209.0,115106.0
2020,msa_ex_cook,50-99,3524,3057,2440,222351.0,193336.0
2020,msa_ex_cook,500-999,145,123,53,88243.0,76780.0
2020,msa_ex_cook,unknown,11315,0,9925,0.0,0.0
2021,chicago,1-9,86076,25640,79863,306299.0,96467.0
2021,chicago,10-49,15965,10267,11450,285472.0,196603.0
2021,chicago,100-249,1273,1133,703,177925.0,158634.0
2021,chicago,1000+,118,118,26,291205.0,291205.0
2021,chicago,250-499,303,297,131,97280.0,95260.0
2021,chicago,50-99,2164,1877,1404,136014.0,118513.0
2021,chicago,500-999,149,149,41,93989.0,93989.0
2021,chicago,unknown,9634,0,8995,0.0,0.0
2021,cook_ex_chicago,1-9,84840,27604,77534,308876.0,106527.0
2021,cook_ex_chicago,10-49,18113,11961,12397,332870.0,231097.0
2021,cook_ex_chicago,100-249,1355,1204,734,184954.0,165667.0
2021,cook_ex_chicago,1000+,64,64,15,161776.0,161776.0
2021,cook_ex_chicago,250-499,299,292,135,93122.0,90854.0
2021,cook_ex_chicago,50-99,2505,2170,1687,156324.0,136877.0
2021,cook_ex_chicago,500-999,101,100,49,62135.0,61440.0
2021,cook_ex_chicago,unknown,7882,0,6978,0.0,0.0
2021,il_ex_msa,1-9,136194,65026,119241,457778.0,230360.0
2021,il_ex_msa,10-49,30688,22185,20326,576186.0,428688.0
2021,il_ex_msa,100-249,1814,1668,973,250623.0,232454.0
2021,il_ex_msa,1000+,112,94,39,265082.0,245282.0
2021,il_ex_msa,250-499,413,391,156,133985.0,126639.0
2021,il_ex_msa,50-99,3956,3472,2575,250783.0,221319.0
2021,il_ex_msa,500-999,158,152,49,100350.0,97350.0
2021,il_ex_msa,unknown,12796,0,10351,0.0,0.0
2021,msa_ex_cook,1-9,112282,40439,101343,395994.0,151688.0
2021,msa_ex_cook,10-49,26237,17914,17744,480666.0,341462.0
2021,msa_ex_cook,100-249,1934,1707,1000,267342.0,237160.0
2021,msa_ex_cook,1000+,94,89,32,216413.0,210913.0
2021,msa_ex_cook,250-499,384,368,170,121606.0,116559.0
2021,msa_ex_cook,50-99,3546,3041,2448,223082.0,191929.0
2021,msa_ex_cook,500-999,147,121,54,89102.0,75631.0
2021,msa_ex_cook,unknown,11186,0,9826,0.0,0.0
2022,chicago,1-9,83651,25375,77496,297809.0,95440.0
2022,chicago,10-49,16599,10274,12243,290699.0,196773.0
2022,chicago,100-249,1266,1134,709,177074.0,159084.0
2022,chicago,1000+,115,115,27,284205.0,284205.0
2022,chicago,250-499,307,301,131,98477.0,96457.0
2022,chicago,50-99,2154,1889,1400,135514.0,119348.0
2022,chicago,500-999,145,145,44,91338.0,91338.0
2022,chicago,unknown,18881,0,15264,0.0,0.0
2022,cook_ex_chicago,1-9,85336,27781,78016,311156.0,107292.0
2022,cook_ex_chicago,10-49,18418,12018,12794,335202.0,231568.0
2022,cook_ex_chicago,100-249,1365,1210,735,185672.0,165859.0
2022,cook_ex_chicago,1000+,67,67,15,167776.0,167776.0
2022,cook_ex_chicago,250-499,303,296,139,94632.0,92364.0
2022,cook_ex_chicago,50-99,2493,2167,1675,155610.0,136730.0
2022,cook_ex_chicago,500-999,97,96,46,59586.0,58891.0
2022,cook_ex_chicago,unknown,15992,0,12315,0.0,0.0
2022,il_ex_msa,1-9,135044,65002,118109,454337.0,231070.0
2022,il_ex_msa,10-49,30446,22314,20133,571468.0,430827.0
2022,il_ex_msa,100-249,1819,1687,971,251700.0,235271.0
2022,il_ex_msa,1000+,107,88,39,255978.0,235078.0
2022,il_ex_msa,250-499,417,393,155,135293.0,127259.0
2022,il_ex_msa,50-99,3930,3457,2529,249139.0,220349.0
2022,il_ex_msa,500-999,158,152,51,100332.0,97332.0
2022,il_ex_msa,unknown,21875,0,15547,0.0,0.0
2022,msa_ex_cook,1-9,112349,40552,101440,396167.0,152183.0
2022,msa_ex_cook,10-49,26400,17975,18014,480484.0,341753.0
2022,msa_ex_cook,100-249,1935,1716,1019,266424.0,237389.0
2022,msa_ex_cook,1000+,91,88,33,237813.0,234513.0
2022,msa_ex_cook,250-499,374,360,162,118556.0,114144.0
2022,msa_ex_cook,50-99,3533,3043,2433,222173.0,191905.0
2022,msa_ex_cook,500-999,147,120,56,87804.0,73831.0
2022,msa_ex_cook,unknown,20615,0,16061,0.0,0.0
2023,chicago,1-9,94127,24531,87941,317373.0,92199.0
2023,chicago,10-49,16642,10033,11577,311107.0,192298.0
2023,chicago,100-249,1546,1100,886,225121.0,154006.0
2023,chicago,1000+,115,114,28,279321.0,278138.0
2023,chicago,250-499,327,308,132,104085.0,98082.0
2023,chicago,50-99,2370,1832,1503,151360.0,115886.0
2023,chicago,500-999,144,143,36,90485.0,89685.0
2023,chicago,unknown,14505,14505,10802,0.0,0.0
2023,cook_ex_chicago,1-9,90953,26813,83652,309656.0,103439.0
2023,cook_ex_chicago,10-49,18465,11739,12289,348168.0,226271.0
2023,cook_ex_chicago,100-249,1530,1186,857,216419.0,163532.0
2023,cook_ex_chicago,1000+,65,64,12,162174.0,160174.0
2023,cook_ex_chicago,250-499,294,276,130,92410.0,86250.0
2023,cook_ex_chicago,50-99,2688,2122,1740,170170.0,133929.0
2023,cook_ex_chicago,500-999,94,91,41,56941.0,55291.0
2023,cook_ex_chicago,unknown,12628,12628,8992,0.0,0.0
2023,il_ex_msa,1-9,140306,63006,122943,465333.0,224501.0
2023,il_ex_msa,10-49,30806,21911,19851,578635.0,422779.0
2023,il_ex_msa,100-249,1961,1669,1070,275635.0,232943.0
2023,il_ex_msa,1000+,102,88,32,240731.0,223431.0
2023,il_ex_msa,250-499,402,383,134,129883.0,123735.0
2023,il_ex_msa,50-99,3995,3419,2568,255344.0,218027.0
2023,il_ex_msa,500-999,155,152,47,99221.0,97721.0
2023,il_ex_msa,unknown,19635,19635,13043,0.0,0.0
2023,msa_ex_cook,1-9,123267,39396,112155,427169.0,147692.0
2023,msa_ex_cook,10-49,27364,17590,18007,505525.0,334243.0
2023,msa_ex_cook,100-249,2123,1673,1100,301573.0,232393.0
2023,msa_ex_cook,1000+,87,86,30,232923.0,231823.0
2023,msa_ex_cook,250-499,375,352,155,118689.0,111688.0
2023,msa_ex_cook,50-99,3675,2964,2470,233693.0,186865.0
2023,msa_ex_cook,500-999,130,116,44,78911.0,71589.0
2023,msa_ex_cook,unknown,17003,17003,12414,0.0,0.0
2024,chicago,1-9,106420,24095,98986,279371.0,90872.0
